# ell, fid_Cl_tt, fid_Cl_te, fid_Cl_ee
1.130000000000000000e+02 1.519898252029073804e+00 -1.537873392877334676e-02 4.636509158491880131e-04
1.140000000000000000e+02 1.509473998217678137e+00 -1.541032523823055063e-02 4.611934191030023439e-04
1.150000000000000000e+02 1.499243531693698284e+00 -1.543539210387957425e-02 4.585966435989763845e-04
1.160000000000000000e+02 1.489198983387680419e+00 -1.545400160693244720e-02 4.558634231909807215e-04
1.170000000000000000e+02 1.479332484230170941e+00 -1.546622082860117653e-02 4.529965917328849113e-04
1.180000000000000000e+02 1.469636165151716911e+00 -1.547211685009779181e-02 4.499989830785593777e-04
1.190000000000000000e+02 1.460102157082864505e+00 -1.547175675263430007e-02 4.468734310818738399e-04
1.200000000000000000e+02 1.450722590954160562e+00 -1.546520761742272917e-02 4.436227695966987218e-04
1.210000000000000000e+02 1.441489597696150815e+00 -1.545253652567508962e-02 4.402498324769038508e-04
1.220000000000000000e+02 1.432395308239382548e+00 -1.543381055860340578e-02 4.367574535763591630e-04
1.230000000000000000e+02 1.423432373807908657e+00 -1.540909931382569535e-02 4.331486119036057547e-04
1.240000000000000000e+02 1.414595526799808267e+00 -1.537848245458398738e-02 4.294268670858682256e-04
1.250000000000000000e+02 1.405880019906667666e+00 -1.534204216052631811e-02 4.255959239050415770e-04
1.260000000000000000e+02 1.397281105820072922e+00 -1.529986061130072031e-02 4.216594871430213521e-04
1.270000000000000000e+02 1.388794037231610323e+00 -1.525201998655522154e-02 4.176212615817030400e-04
1.280000000000000000e+02 1.380414066832865272e+00 -1.519860246593786324e-02 4.134849520029816963e-04
1.290000000000000000e+02 1.372136447315424279e+00 -1.513969022909667644e-02 4.092542631887530267e-04
1.300000000000000000e+02 1.363956431370873190e+00 -1.507536545567968872e-02 4.049328999209121953e-04
1.310000000000000000e+02 1.355869271690798072e+00 -1.500571032533493977e-02 4.005245669813545283e-04
1.320000000000000000e+02 1.347870220966785215e+00 -1.493080701771045890e-02 3.960329691519754607e-04
1.330000000000000000e+02 1.339954531890420464e+00 -1.485073771245428408e-02 3.914618112146703733e-04
1.340000000000000000e+02 1.332117457153289664e+00 -1.476558458921444113e-02 3.868147979513345382e-04
1.350000000000000000e+02 1.324354249446979326e+00 -1.467542982763896803e-02 3.820956341438633361e-04
1.360000000000000000e+02 1.316660161463074852e+00 -1.458035560737589581e-02 3.773080245741520936e-04
1.370000000000000000e+02 1.309030802540281702e+00 -1.448044573871012930e-02 3.724557412371715202e-04
1.380000000000000000e+02 1.301463208605781796e+00 -1.437579055447406329e-02 3.675428249801934244e-04
1.390000000000000000e+02 1.293954772233874895e+00 -1.426648201813695074e-02 3.625733838635646186e-04
1.400000000000000000e+02 1.286502885998862311e+00 -1.415261209316804984e-02 3.575515259476322945e-04
1.410000000000000000e+02 1.279104942475044027e+00 -1.403427274303662917e-02 3.524813592927433185e-04
1.420000000000000000e+02 1.271758334236720911e+00 -1.391155593121194516e-02 3.473669919592447738e-04
1.430000000000000000e+02 1.264460453858193167e+00 -1.378455362116325598e-02 3.422125320074836897e-04
1.440000000000000000e+02 1.257208693913762332e+00 -1.365335777635982677e-02 3.370220874978070410e-04
1.450000000000000000e+02 1.250000446977728163e+00 -1.351806036027091394e-02 3.317997664905618566e-04
1.460000000000000000e+02 1.242833105624391310e+00 -1.337875333636577568e-02 3.265496770460952201e-04
1.470000000000000000e+02 1.235704062428052641e+00 -1.323552866811367364e-02 3.212759272247539977e-04
1.480000000000000000e+02 1.228610709963012360e+00 -1.308847831898387465e-02 3.159826250868852729e-04
1.490000000000000000e+02 1.221550440803571336e+00 -1.293769425244563342e-02 3.106738786928361288e-04
1.500000000000000000e+02 1.214520647524029995e+00 -1.278326843196820814e-02 3.053537961029534863e-04
1.510000000000000000e+02 1.207518722698689428e+00 -1.262529282102086217e-02 3.000264853775843742e-04
1.520000000000000000e+02 1.200542058901849174e+00 -1.246385938307285370e-02 2.946960545770757676e-04
1.530000000000000000e+02 1.193588290138100749e+00 -1.229906053237661903e-02 2.893665804676928406e-04
1.540000000000000000e+02 1.186656016133194713e+00 -1.213099048631728107e-02 2.840420146393729138e-04
1.550000000000000000e+02 1.179744078043172495e+00 -1.195974391306314430e-02 2.787262773879714529e-04
1.560000000000000000e+02 1.172851317024074635e+00 -1.178541548078250456e-02 2.734232890093438693e-04
1.570000000000000000e+02 1.165976574231942564e+00 -1.160809985764366462e-02 2.681369697993456831e-04
1.580000000000000000e+02 1.159118690822817044e+00 -1.142789171181492203e-02 2.628712400538322515e-04
1.590000000000000000e+02 1.152276507952739282e+00 -1.124488571146457783e-02 2.576300200686590402e-04
1.600000000000000000e+02 1.145448866777750485e+00 -1.105917652476092958e-02 2.524172301396814607e-04
1.610000000000000000e+02 1.138634608453891195e+00 -1.087085881987228005e-02 2.472367905627549786e-04
1.620000000000000000e+02 1.131832574137202396e+00 -1.068002726496692853e-02 2.420926216337351139e-04
1.630000000000000000e+02 1.125041604983725962e+00 -1.048677652821317086e-02 2.369886436484771697e-04
1.640000000000000000e+02 1.118260542149502434e+00 -1.029120127777931326e-02 2.319287769028366929e-04
1.650000000000000000e+02 1.111488226790572797e+00 -1.009339618183365157e-02 2.269169416926691764e-04
1.660000000000000000e+02 1.104723500062977593e+00 -9.893455908544485089e-03 2.219570583138298690e-04
1.670000000000000000e+02 1.097965203122758915e+00 -9.691475126080114841e-03 2.170530470621744262e-04
1.680000000000000000e+02 1.091212177125957306e+00 -9.487548502608841861e-03 2.122088282335581511e-04
1.690000000000000000e+02 1.084463263228613750e+00 -9.281770706298961976e-03 2.074283221238365363e-04
1.700000000000000000e+02 1.077717302586769010e+00 -9.074236405318781423e-03 2.027154490288649935e-04
1.710000000000000000e+02 1.070973293285966355e+00 -8.865039109866246214e-03 1.980739747075686440e-04
1.720000000000000000e+02 1.064230861129755068e+00 -8.654267698257918709e-03 1.935070467711511499e-04
1.730000000000000000e+02 1.057489788851186496e+00 -8.442009890840007982e-03 1.890176582938858565e-04
1.740000000000000000e+02 1.050749859183311985e+00 -8.228353407958726579e-03 1.846088023500460273e-04
1.750000000000000000e+02 1.044010854859182880e+00 -8.013385969960287042e-03 1.802834720139049804e-04
1.760000000000000000e+02 1.037272558611850526e+00 -7.797195297190899314e-03 1.760446603597360337e-04
1.770000000000000000e+02 1.030534753174366047e+00 -7.579869109996775940e-03 1.718953604618125592e-04
1.780000000000000000e+02 1.023797221279780789e+00 -7.361495128724127729e-03 1.678385653944077665e-04
1.790000000000000000e+02 1.017059745661146319e+00 -7.142161073719168092e-03 1.638772682317950820e-04
1.800000000000000000e+02 1.010322109051513095e+00 -6.921954665328103502e-03 1.600144620482477423e-04
1.810000000000000000e+02 1.003584094183933351e+00 -6.700963623897149973e-03 1.562531399180390652e-04
1.820000000000000000e+02 9.968454837914580979e-01 -6.479275669772516580e-03 1.525962949154424230e-04
1.830000000000000000e+02 9.901060606071385717e-01 -6.256978523300415866e-03 1.490469201147310251e-04
1.840000000000000000e+02 9.833656073640264506e-01 -6.034159904827058642e-03 1.456080085901782979e-04
1.850000000000000000e+02 9.766239067951723030e-01 -5.810907534698656583e-03 1.422825534160575322e-04
1.860000000000000000e+02 9.698807416336276965e-01 -5.587309133261421368e-03 1.390735476666419646e-04
1.870000000000000000e+02 9.631358946124441989e-01 -5.363452420861563805e-03 1.359839844162049672e-04
1.880000000000000000e+02 9.563891484646728225e-01 -5.139425117845295571e-03 1.330168567390198852e-04
1.890000000000000000e+02 9.496402859233648019e-01 -4.915314944558828343e-03 1.301751577093599821e-04
1.900000000000000000e+02 9.428890897215721489e-01 -4.691209621348372064e-03 1.274618804014985760e-04
1.910000000000000000e+02 9.361354356097729701e-01 -4.467194064831920067e-03 1.248797531929611202e-04
1.920000000000000000e+02 9.293795714081570791e-01 -4.243341976714582776e-03 1.224304456742816372e-04
1.930000000000000000e+02 9.226218379543418280e-01 -4.019724254973252274e-03 1.201153627392463527e-04
1.940000000000000000e+02 9.158625760859442355e-01 -3.796411797584816738e-03 1.179359092816412754e-04
1.950000000000000000e+02 9.091021266405812096e-01 -3.573475502526170852e-03 1.158934901952526447e-04
1.960000000000000000e+02 9.023408304558703241e-01 -3.350986267774204528e-03 1.139895103738665914e-04
1.970000000000000000e+02 8.955790283694284870e-01 -3.129014991305808548e-03 1.122253747112692327e-04
1.980000000000000000e+02 8.888170612188730502e-01 -2.907632571097873257e-03 1.106024881012468078e-04
1.990000000000000000e+02 8.820552698418209214e-01 -2.686909905127291172e-03 1.091222554375853934e-04
2.000000000000000000e+02 8.752939950758895638e-01 -2.466917891370953939e-03 1.077860816140711745e-04
2.010000000000000000e+02 8.685335777586957740e-01 -2.247727427805751473e-03 1.065953715244902819e-04
2.020000000000000000e+02 8.617743587278570150e-01 -2.029409412408575419e-03 1.055515300626288735e-04
2.030000000000000000e+02 8.550166788209905278e-01 -1.812034743156316343e-03 1.046559621222731208e-04
2.040000000000000000e+02 8.482608788757132201e-01 -1.595674318025866543e-03 1.039100725972091411e-04
2.050000000000000000e+02 8.415072997296424440e-01 -1.380399034994116364e-03 1.033152663812231058e-04
2.060000000000000000e+02 8.347562822203951072e-01 -1.166279792037956805e-03 1.028729483681011729e-04
2.070000000000000000e+02 8.280081671855887837e-01 -9.533874871342800554e-04 1.025845234516294867e-04
2.080000000000000000e+02 8.212632954628401594e-01 -7.417930182599759194e-04 1.024513965255941780e-04
2.090000000000000000e+02 8.145220078897666971e-01 -5.315672833919365872e-04 1.024749724837814455e-04
2.100000000000000000e+02 8.077846453039855268e-01 -3.227811805070531642e-04 1.026566562199773792e-04
2.110000000000000000e+02 8.010515485431137783e-01 -1.155056075822160380e-04 1.029978526279681913e-04
2.120000000000000000e+02 7.943230584447686926e-01 9.018853740568271002e-05 1.034999666015399720e-04
2.130000000000000000e+02 7.875995558438138033e-01 2.942347398653178715e-04 1.041640669159688335e-04
2.140000000000000000e+02 7.808815815640985925e-01 4.965840187476250897e-04 1.049898778724904340e-04
2.150000000000000000e+02 7.741697164267188347e-01 6.971917763891054580e-04 1.059767876538303454e-04
2.160000000000000000e+02 7.674645412527705268e-01 8.960134151262603812e-04 1.071241844427142073e-04
2.170000000000000000e+02 7.607666368633497767e-01 1.093004337295590614e-03 1.084314564218675375e-04
2.180000000000000000e+02 7.540765840795521369e-01 1.288119945233597670e-03 1.098979917740159620e-04
2.190000000000000000e+02 7.473949637224737153e-01 1.481315641276782953e-03 1.115231786818850934e-04
2.200000000000000000e+02 7.407223566132103976e-01 1.672546827761647002e-03 1.133064053282004628e-04
2.210000000000000000e+02 7.340593435728581806e-01 1.861768907024691222e-03 1.152470598956876964e-04
2.220000000000000000e+02 7.274065054225126170e-01 2.048937281402417234e-03 1.173445305670723526e-04
2.230000000000000000e+02 7.207644229832699256e-01 2.234007353231325359e-03 1.195982055250800709e-04
2.240000000000000000e+02 7.141336770762259922e-01 2.416934524847917654e-03 1.220074729524363554e-04
2.250000000000000000e+02 7.075148485224765915e-01 2.597674198588694871e-03 1.245717210318668866e-04
2.260000000000000000e+02 7.009085181431176093e-01 2.776181776790158200e-03 1.272903379460971684e-04
2.270000000000000000e+02 6.943152667592452643e-01 2.952412661788808394e-03 1.301627118778528542e-04
2.280000000000000000e+02 6.877356751919549982e-01 3.126322255921147510e-03 1.331882310098595292e-04
2.290000000000000000e+02 6.811703242623430299e-01 3.297865961523676302e-03 1.363662835248427249e-04
2.300000000000000000e+02 6.746197947915051341e-01 3.466999180932895525e-03 1.396962576055279994e-04
2.310000000000000000e+02 6.680846676005373075e-01 3.633677316485306365e-03 1.431775414346411009e-04
2.320000000000000000e+02 6.615655235105354359e-01 3.797855770517411314e-03 1.468095231949074521e-04
2.330000000000000000e+02 6.550629433425951831e-01 3.959489945365710258e-03 1.505915910690526927e-04
2.340000000000000000e+02 6.485775079178127678e-01 4.118535243366704818e-03 1.545231332398024895e-04
2.350000000000000000e+02 6.421097980572841868e-01 4.274947066856896183e-03 1.586035378898823466e-04
2.360000000000000000e+02 6.356603945821047708e-01 4.428680818172784674e-03 1.628321932020178222e-04
2.370000000000000000e+02 6.292298783133709605e-01 4.579691899650872346e-03 1.672084873589345833e-04
2.380000000000000000e+02 6.228188257391299443e-01 4.727941140388640211e-03 1.717314888253679598e-04
2.390000000000000000e+02 6.164277960152336755e-01 4.873411076527485973e-03 1.763989871940925590e-04
2.400000000000000000e+02 6.100573439644867424e-01 5.016089670969786293e-03 1.812084523398927057e-04
2.410000000000000000e+02 6.037080244096921788e-01 5.155964886617919567e-03 1.861573541375527788e-04
2.420000000000000000e+02 5.973803921736542399e-01 5.293024686374262454e-03 1.912431624618571573e-04
2.430000000000000000e+02 5.910750020791766257e-01 5.427257033141192483e-03 1.964633471875901931e-04
2.440000000000000000e+02 5.847924089490631472e-01 5.558649889821088916e-03 2.018153781895362653e-04
2.450000000000000000e+02 5.785331676061175044e-01 5.687191219316328414e-03 2.072967253424796985e-04
